SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_11-35-30,2026-04-24T16:35:30Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:30Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:30Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:31Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:43Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:44Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:45Z,ScreenExited,Navigation,"SuggestionView","{""duration"":15.006167054176331}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:45Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:45Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:35:46Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.3113939762115479}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:12Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:14Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:15Z,ScreenExited,Navigation,"SuggestionView","{""duration"":29.556077003479004}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:17Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:17Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:17Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:17Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:35Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":17.839874029159546}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:35Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:38Z,ConnectionAdded,Connection,"Sara (Blasian minus asian)","{""totalConnections"":3,""totalAvailable"":3,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:38Z,ConnectionAdded,Connection,"Sara (Dr. Siddiqui)✨ 🥷","{""totalConnections"":3,""totalAvailable"":3,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:38Z,ConnectionAdded,Connection,"Shayma 🐼","{""totalConnections"":3,""totalAvailable"":3,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:38Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":21.544977903366089}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:40Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:40Z,PermissionRequested,Permission,"Calendar","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:40Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:40Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":26.278267979621887}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:41Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":1.4249891042709351}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:41Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Sara (Blasian minus asian)""],""count"":1}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:41Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:41Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:41Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0023950338363647461}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:41Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:51Z,SuggestionTapped,Suggestion,"Sara (Blasian minus asian)","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:51Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:51Z,InvitationInitiated,Invitation,"Sara (Blasian minus asian)","{""timeOfDay"":""morning"",""freeSlotSuggested"":true,""activity"":""Do a grocery run""}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:54Z,InvitationCompleted,Invitation,"Sara (Blasian minus asian)","{""method"":""iMessage"",""timeElapsed"":3.3386080265045166}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:54Z,ButtonTapped,Navigation,"ScheduledView.SendInvite","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:59Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:36:59Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0024870634078979492}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:00Z,ScreenExited,Navigation,"SuggestionView","{""duration"":20.006112933158875}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:00Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:00Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0052219629287719727}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:00Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Sara (Blasian minus asian)""]}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:00Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:00Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.385348916053772}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:01Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:44Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:44Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0024329423904418945}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:44Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:46Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:46Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0023779869079589844}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:46Z,ScreenExited,Navigation,"SuggestionView","{""duration"":46.601307034492493}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:48Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:48Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-35-30,2026-04-24T16:37:48Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0043998956680297852}"
