SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_11-29-16,2026-04-24T16:29:16Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:16Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:16Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:21Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:22Z,ScreenExited,Navigation,"SuggestionView","{""duration"":5.5403029918670654}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:23Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:24Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":2.362152099609375}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:27Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:28Z,ScreenExited,Navigation,"SuggestionView","{""duration"":4.8567620515823364}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:28Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:28Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:28Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:29:28Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:18Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":49.53049099445343}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:18Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:22Z,ConnectionAdded,Connection,"Sara (Blasian minus asian)","{""isInitialAdd"":true,""totalConnections"":3,""totalAvailable"":3,""percentage"":100}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:22Z,ConnectionAdded,Connection,"Sara (Dr. Siddiqui)✨ 🥷","{""isInitialAdd"":true,""totalConnections"":3,""totalAvailable"":3,""percentage"":100}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:22Z,ConnectionAdded,Connection,"Shayma 🐼","{""isInitialAdd"":true,""totalConnections"":3,""totalAvailable"":3,""percentage"":100}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:22Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":53.936719059944153}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:28Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:28Z,PermissionRequested,Permission,"Calendar","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:28Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:29Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":61.614760994911194}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:34Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":6.3417890071868896}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:34Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Sara (Blasian minus asian)""],""count"":1}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:34Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:35Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:35Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":0.0015950202941894531}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:35Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:45Z,SuggestionTapped,Suggestion,"Sara (Blasian minus asian)","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:45Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:45Z,InvitationInitiated,Invitation,"Sara (Blasian minus asian)","{""activity"":""Do a grocery run"",""timeOfDay"":""morning"",""freeSlotSuggested"":true}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:48Z,InvitationCompleted,Invitation,"Sara (Blasian minus asian)","{""timeElapsed"":3.1558409929275513,""method"":""iMessage""}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:48Z,ButtonTapped,Navigation,"ScheduledView.SendInvite","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:58Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:58Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":0.0032659769058227539}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:59Z,ScreenExited,Navigation,"SuggestionView","{""duration"":30.833714962005615}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:59Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:59Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":0.0056810379028320312}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:59Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Sara (Blasian minus asian)""]}"
Session_2026-04-24_11-29-16,2026-04-24T16:30:59Z,SuggestionViewed,Suggestion,"Sara (Blasian minus asian)","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_11-29-16,2026-04-24T16:31:00Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.158939003944397}"
