SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_12-07-52,2026-04-24T17:07:52Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:07:52Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:07:52Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:07:58Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:07:59Z,ScreenExited,Navigation,"SuggestionView","{""duration"":6.8991200923919678}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:01Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:01Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":2.9403759241104126}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:06Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:07Z,ScreenExited,Navigation,"SuggestionView","{""duration"":6.0016859769821167}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:08Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:08Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:08Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:08Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:30Z,PermissionGranted,Permission,"Contacts","{""timeElapsed"":21.640444993972778,""type"":""all""}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:30Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:38Z,ConnectionAdded,Connection,"Leena ❤️","{""totalConnections"":1,""isInitialAdd"":true,""totalAvailable"":1,""percentage"":100}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:39Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":30.845826983451843}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:45Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:45Z,PermissionRequested,Permission,"Calendar","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:45Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:45Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":39.391510009765625}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:49Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":3.8608109951019287}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:49Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Leena ❤️""]}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:49Z,SuggestionViewed,Suggestion,"Leena ❤️","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:49Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:49Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0026509761810302734}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:49Z,SuggestionViewed,Suggestion,"Leena ❤️","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:58Z,SuggestionTapped,Suggestion,"Leena ❤️","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:58Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:08:58Z,InvitationInitiated,Invitation,"Leena ❤️","{""timeOfDay"":""afternoon"",""activity"":""Go for a walk"",""freeSlotSuggested"":true}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:04Z,InvitationCompleted,Invitation,"Leena ❤️","{""method"":""iMessage"",""timeElapsed"":5.9732849597930908}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:04Z,ButtonTapped,Navigation,"ScheduledView.SendInvite","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:17Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:17Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0028760433197021484}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:18Z,ScreenExited,Navigation,"SuggestionView","{""duration"":32.811769962310791}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:20Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:20Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:20Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:20Z,PermissionGranted,Permission,"Contacts","{""timeElapsed"":3.7908554077148438e-05,""type"":""all""}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:24Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":4.4480370283126831}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:25Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:25Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0049200057983398438}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:25Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Leena ❤️""]}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:25Z,SuggestionViewed,Suggestion,"Leena ❤️","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:26Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":9.0518269538879395}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:26Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:26Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0026350021362304688}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:27Z,ScreenExited,Navigation,"SuggestionView","{""duration"":1.6000429391860962}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:27Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:27Z,SuggestionViewed,Suggestion,"Leena ❤️","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:27Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0058319568634033203}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:27Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Leena ❤️""]}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:27Z,SuggestionViewed,Suggestion,"Leena ❤️","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-07-52,2026-04-24T17:09:28Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.8017599582672119}"
