SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_12-31-11,2026-04-24T17:31:11Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:11Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:11Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:12Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:13Z,ScreenExited,Navigation,"SuggestionView","{""duration"":2.1086130142211914}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:14Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:14Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.8498589992523193}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:16Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:17Z,ScreenExited,Navigation,"SuggestionView","{""duration"":3.3712359666824341}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:19Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:19Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:19Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:31:19Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:09Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:09Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":49.722246050834656}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:13Z,ConnectionAdded,Connection,"Amira Mahmedjan","{""totalConnections"":3,""totalAvailable"":4,""isInitialAdd"":true,""percentage"":75}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:13Z,ConnectionAdded,Connection,"Emma Mathews","{""totalConnections"":3,""totalAvailable"":4,""isInitialAdd"":true,""percentage"":75}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:13Z,ConnectionAdded,Connection,"Salma Kamni","{""totalConnections"":3,""totalAvailable"":4,""isInitialAdd"":true,""percentage"":75}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:13Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":54.398268938064575}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:14Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:14Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:14Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:14Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":2.5033950805664062e-05}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:16Z,ConnectionAdded,Connection,"Iman Khater","{""isInitialAdd"":false,""totalAvailable"":4,""totalConnections"":4,""percentage"":100}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:16Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":2.0225720405578613}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:17Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:17Z,PermissionRequested,Permission,"Calendar","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:17Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:17Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":61.031398057937622}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:20Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":3.4805840253829956}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:20Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Amira Mahmedjan""],""count"":1}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:20Z,SuggestionViewed,Suggestion,"Amira Mahmedjan","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:20Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:21Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0027009248733520508}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:21Z,SuggestionViewed,Suggestion,"Amira Mahmedjan","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-31-11,2026-04-24T17:32:22Z,ButtonTapped,Navigation,"SuggestionCard.MaybeLater","{}"
