SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_12-13-35,2026-04-24T17:13:35Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:35Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:35Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:38Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:38Z,ScreenExited,Navigation,"SuggestionView","{""duration"":3.066552996635437}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:39Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:39Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:39Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:13:39Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:29Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":50.128152966499329}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:29Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:32Z,ConnectionAdded,Connection,"Hajir","{""totalConnections"":2,""totalAvailable"":2,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:32Z,ConnectionAdded,Connection,"Leena ❤️","{""totalConnections"":2,""totalAvailable"":2,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:32Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":53.140900015830994}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:34Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:34Z,PermissionRequested,Permission,"Calendar","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:34Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:35Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":57.224352955818176}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:36Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":2.3022110462188721}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:36Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Hajir""]}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:36Z,SuggestionViewed,Suggestion,"Hajir","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:37Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:37Z,PermissionGranted,Permission,"Calendar","{""timeElapsed"":0.0081849098205566406}"
Session_2026-04-24_12-13-35,2026-04-24T17:14:37Z,SuggestionViewed,Suggestion,"Hajir","{""daysSinceLastHangout"":-1}"
