SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_10-18-28,2026-04-24T17:18:28Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:18:29Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:18:29Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:32Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:33Z,ScreenExited,Navigation,"SuggestionView","{""duration"":63.898836970329285}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:34Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:34Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":2.2129369974136353}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:34Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:35Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:35Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:35Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:35Z,ScreenExited,Navigation,"SuggestionView","{""duration"":1.5639150142669678}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:35Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:58Z,PermissionGranted,Permission,"Contacts","{""timeElapsed"":23.138778924942017,""type"":""all""}"
Session_2026-04-24_10-18-28,2026-04-24T17:19:58Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:01Z,ConnectionAdded,Connection,"Maya Arengo","{""totalConnections"":1,""totalAvailable"":1,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:01Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":26.145443916320801}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:05Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:05Z,PermissionRequested,Permission,"Calendar","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:05Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:05Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":31.04109799861908}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:08Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":3.3722829818725586}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:08Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Maya Arengo""]}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:08Z,SuggestionViewed,Suggestion,"Maya Arengo","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:09Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:09Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":0.0022410154342651367}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:09Z,SuggestionViewed,Suggestion,"Maya Arengo","{""daysSinceLastHangout"":-1}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:15Z,SuggestionTapped,Suggestion,"Maya Arengo","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:15Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:15Z,InvitationInitiated,Invitation,"Maya Arengo","{""freeSlotSuggested"":true,""timeOfDay"":""morning"",""activity"":""Do a grocery run""}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:21Z,InvitationCompleted,Invitation,"Maya Arengo","{""method"":""iMessage"",""timeElapsed"":5.9543479681015015}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:21Z,ButtonTapped,Navigation,"ScheduledView.SendInvite","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:39Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:39Z,PermissionDenied,Permission,"Calendar","{""timeElapsed"":0.0042070150375366211}"
Session_2026-04-24_10-18-28,2026-04-24T17:20:40Z,ScreenExited,Navigation,"SuggestionView","{""duration"":35.071398019790649}"
Session_2026-04-24_10-18-28,2026-04-24T17:21:22Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_10-18-28,2026-04-24T17:21:22Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":43.322965025901794}"
